InstanceID,Found,Depth,Cost,Iterations,Generated,Expanded,Cpu Time,Wall Time,delta,epsilon,pacCondition,Domain
89,1,518,518.0,11,45225,26303,78,80,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
90,1,762,762.0,8,224136,133046,343,350,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
91,1,629,629.0,5,230105,135919,327,355,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
92,1,525,525.0,3,54528,32866,93,90,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
93,1,469,469.0,7,84703,50029,140,140,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
94,1,614,614.0,5,130471,76319,249,240,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
95,1,807,807.0,14,427706,254562,764,797,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
96,1,612,612.0,3,104689,61108,202,204,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
97,1,452,452.0,7,41369,23912,78,80,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
98,1,728,728.0,6,203944,121807,296,300,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
99,1,636,636.0,8,860157,509326,1248,1282,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
100,1,748,748.0,5,104478,62730,109,120,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
51,1,455,455.0,4,88849,52714,140,140,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
52,1,630,630.0,8,96098,55949,109,110,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
53,1,554,554.0,7,70048,42387,109,110,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
54,1,618,618.0,7,124163,73332,265,280,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
55,1,624,624.0,7,133939,78836,280,300,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
56,1,286,286.0,3,26447,15701,31,40,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
57,1,508,508.0,6,61340,35687,93,100,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
58,1,713,713.0,8,222376,132566,343,350,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
59,1,545,545.0,5,68892,39547,124,130,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
60,1,468,468.0,7,79827,47447,124,140,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
61,1,631,631.0,4,226526,134692,390,400,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
62,1,605,605.0,6,69384,41004,93,90,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
63,1,683,683.0,7,192306,112904,312,300,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
64,1,457,457.0,6,33836,19846,46,50,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
65,1,502,502.0,4,62275,37056,78,90,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
66,1,440,440.0,4,82464,48793,140,140,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
67,1,451,451.0,6,73009,42845,78,80,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
68,1,622,622.0,6,175969,104308,327,320,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
69,1,439,439.0,7,53080,31008,78,70,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
70,1,534,534.0,9,65627,38567,109,110,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
71,1,568,568.0,6,56047,32684,78,80,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
72,1,483,483.0,4,56448,32877,78,80,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
73,1,552,552.0,4,88571,52850,124,130,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
74,1,599,599.0,7,33600,19906,93,80,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
75,1,614,614.0,8,372044,220407,561,561,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
76,1,441,441.0,6,94174,54297,109,110,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
77,1,461,461.0,4,29966,17610,46,50,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
78,1,646,646.0,5,149886,88752,249,250,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
79,1,626,626.0,5,277635,164528,405,400,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
80,1,506,506.0,5,62565,36890,124,130,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
81,1,708,708.0,5,123529,72697,234,240,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
82,1,576,576.0,7,70015,41351,140,130,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
83,1,509,509.0,8,24946,14524,46,50,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
84,1,804,804.0,5,180816,106988,327,330,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
85,1,744,744.0,5,432692,254721,733,750,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
86,1,631,631.0,6,92465,54689,171,160,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
87,1,595,595.0,7,81019,47989,156,160,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
88,1,511,511.0,4,83343,48967,124,131,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
89,1,518,518.0,11,45225,26303,78,80,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
90,1,762,762.0,8,224136,133046,343,350,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
91,1,629,629.0,5,230105,135919,327,330,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
92,1,525,525.0,3,54528,32866,93,90,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
93,1,469,469.0,7,84703,50029,124,140,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
94,1,614,614.0,5,130471,76319,234,230,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
95,1,807,807.0,14,427706,254562,764,801,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
96,1,612,612.0,3,104689,61108,202,210,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
97,1,452,452.0,7,41369,23912,62,70,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
98,1,728,728.0,6,203944,121807,280,290,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
99,1,636,636.0,8,860157,509326,1232,1260,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
100,1,748,748.0,5,104478,62730,140,130,0.2,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
51,1,455,455.0,4,88849,52714,156,150,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
52,1,630,630.0,8,96098,55949,124,122,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
53,1,554,554.0,7,70048,42387,93,100,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
54,1,618,618.0,7,124163,73332,265,260,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
55,1,624,624.0,7,133939,78836,296,290,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
56,1,286,286.0,3,26447,15701,31,50,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
57,1,508,508.0,6,61340,35687,78,90,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
58,1,713,713.0,8,222376,132566,374,370,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
59,1,545,545.0,5,68892,39547,140,130,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
60,1,468,468.0,7,79827,47447,140,140,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
61,1,631,631.0,4,226526,134692,405,410,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
62,1,605,605.0,6,69384,41004,93,92,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
63,1,683,683.0,7,192306,112904,296,300,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
64,1,457,457.0,6,33836,19846,31,40,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
65,1,502,502.0,4,62275,37056,93,100,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
66,1,440,440.0,4,82464,48793,140,140,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
67,1,451,451.0,6,73009,42845,78,80,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
68,1,622,622.0,6,175969,104308,296,311,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
69,1,439,439.0,7,53080,31008,78,70,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
70,1,534,534.0,9,65627,38567,109,110,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
71,1,568,568.0,6,56047,32684,78,80,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
72,1,483,483.0,4,56448,32877,78,80,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
73,1,552,552.0,4,88571,52850,124,130,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
74,1,599,599.0,7,33600,19906,62,70,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
75,1,614,614.0,8,372044,220407,530,530,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
76,1,441,441.0,6,94174,54297,109,110,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
77,1,461,461.0,4,29966,17610,46,50,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
78,1,646,646.0,5,149886,88752,234,240,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
79,1,626,626.0,5,277635,164528,390,390,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
80,1,506,506.0,5,62565,36890,93,110,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
81,1,708,708.0,5,123529,72697,234,240,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
82,1,576,576.0,7,70015,41351,124,130,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
83,1,509,509.0,8,24946,14524,62,50,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
84,1,804,804.0,5,180816,106988,312,330,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
85,1,744,744.0,5,432692,254721,717,720,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
86,1,631,631.0,6,92465,54689,156,160,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
87,1,595,595.0,7,81019,47989,171,170,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
88,1,511,511.0,4,83343,48967,140,140,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
89,1,518,518.0,11,45225,26303,78,81,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
90,1,762,762.0,8,224136,133046,343,350,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
91,1,629,629.0,5,230105,135919,327,331,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
92,1,525,525.0,3,54528,32866,78,90,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
93,1,469,469.0,7,84703,50029,140,141,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
94,1,614,614.0,5,130471,76319,234,245,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
95,1,807,807.0,14,427706,254562,733,740,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
96,1,612,612.0,3,104689,61108,202,200,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
97,1,452,452.0,7,41369,23912,78,80,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
98,1,728,728.0,6,203944,121807,280,290,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
99,1,636,636.0,8,860157,509326,1248,1280,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
100,1,748,748.0,5,104478,62730,109,120,0.5,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
51,1,455,455.0,4,88849,52714,140,130,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
52,1,670,670.0,5,13547,7788,31,20,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
53,1,560,560.0,5,21607,12965,46,40,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
54,1,694,694.0,3,65669,39075,140,150,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
55,1,626,626.0,6,83025,48825,171,170,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
56,1,286,286.0,3,26447,15701,62,50,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
57,1,508,508.0,6,61340,35687,93,120,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
58,1,713,713.0,8,222376,132566,358,350,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
59,1,545,545.0,5,68892,39547,140,140,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
60,1,492,492.0,4,23991,13986,78,70,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
61,1,631,631.0,4,226526,134692,405,410,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
62,1,627,627.0,4,21621,12592,46,50,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
63,1,683,683.0,7,192306,112904,280,310,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
64,1,511,511.0,2,2663,1561,15,10,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
65,1,502,502.0,4,62275,37056,93,100,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
66,1,440,440.0,4,82464,48793,140,150,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
67,1,451,451.0,6,41539,24287,62,60,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
68,1,622,622.0,6,144013,85184,249,260,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
69,1,439,439.0,7,53080,31008,62,70,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
70,1,534,534.0,9,65627,38567,109,111,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
71,1,568,568.0,6,56047,32684,93,90,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
72,1,483,483.0,4,56448,32877,93,90,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
73,1,552,552.0,4,88571,52850,124,130,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
74,1,615,615.0,4,25931,15496,62,60,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
75,1,624,624.0,6,318200,188379,468,470,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
76,1,479,479.0,3,25923,14787,46,40,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
77,1,461,461.0,4,29966,17610,46,40,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
78,1,646,646.0,5,149886,88752,265,260,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
79,1,626,626.0,5,277635,164528,390,390,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
80,1,506,506.0,5,62565,36890,109,110,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
81,1,708,708.0,5,123529,72697,218,220,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
82,1,603,603.0,5,35342,20706,93,80,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
83,1,545,545.0,3,4340,2482,15,10,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
84,1,804,804.0,5,180816,106988,327,330,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
85,1,744,744.0,5,432692,254721,733,740,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
86,1,631,631.0,6,92465,54689,171,180,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
87,1,681,681.0,2,10471,6107,15,20,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
88,1,511,511.0,4,83343,48967,140,140,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
89,1,590,590.0,2,3044,1724,15,10,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
90,1,762,762.0,8,224136,133046,343,360,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
91,1,629,629.0,5,230105,135919,312,320,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
92,1,525,525.0,3,54528,32866,93,90,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
93,1,495,495.0,5,22364,13071,46,40,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
94,1,614,614.0,5,130471,76319,249,240,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
95,1,825,825.0,10,385154,229068,655,680,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
96,1,612,612.0,3,104689,61108,187,190,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
97,1,452,452.0,7,41369,23912,78,70,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
98,1,728,728.0,6,203944,121807,296,300,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
99,1,636,636.0,8,860157,509326,1232,1252,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
100,1,748,748.0,5,104478,62730,140,150,0.9,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
51,1,627,627.0,1,4832,2932,0,0,0.99,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
52,1,776,776.0,1,2946,1711,0,0,0.99,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
53,1,664,664.0,1,5196,3135,15,10,0.99,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,VacuumRobot,
